ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1416529857.79018,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416529857.79018,pg_catalog,pg_db_role_setting,0,0,73064,0,0,0,0,0,0,0,0,0,182,72882,0,0,0,0
1416529857.79018,pg_toast,pg_toast_12713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416529857.79018,pg_catalog,pg_rowsecurity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416529857.79018,pg_catalog,pg_description,0,0,2474,0,0,0,0,0,0,0,0,0,835,4669,0,0,0,0
1416529857.79018,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416529857.79018,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416529857.79018,public,time_statistics,0,0,,,1,0,0,0,1,0,1,0,,,,,,
1416529857.79018,public,partsupp,0,0,,,0,0,0,0,0,0,0,0,,,,,,
1416529857.79018,pg_catalog,pg_class,5023,1068671,436850,400421,998,304,988,297,311,46,4013,443720,3865,914225,,,,
1416529857.79018,information_schema,sql_implementation_info,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416529857.79018,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416529857.79018,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416529857.79018,pg_catalog,pg_operator,0,0,137523,716857,0,0,0,0,0,0,3461,496448,2929,298240,,,,
1416529857.79018,information_schema,sql_languages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416529857.79018,pg_toast,pg_toast_12693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416529857.79018,pg_catalog,pg_attribute,1364,9300,354966,801345,3738,100,3604,71,2470,574,11714,401247,3361,744496,,,,
