# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1416529914;-1;19.38;0.00;3.28;0.00;0.00;77.34
axle;60;1416529914;0;9.10;0.00;2.57;0.02;0.00;88.31
axle;60;1416529914;1;28.85;0.00;3.51;0.00;0.00;67.64
axle;60;1416529914;2;20.42;0.00;3.29;0.00;0.00;76.28
axle;60;1416529914;3;17.73;0.00;3.16;0.00;0.00;79.10
axle;60;1416529914;4;47.70;0.00;5.22;0.00;0.00;47.08
axle;60;1416529914;5;28.41;0.00;3.32;0.00;0.00;68.27
axle;60;1416529914;6;0.59;0.00;2.32;0.00;0.00;97.09
axle;60;1416529914;7;11.67;0.00;2.23;0.00;0.00;86.10
axle;60;1416529914;8;22.54;0.00;4.14;0.00;0.00;73.32
axle;60;1416529914;9;17.83;0.00;4.49;0.00;0.00;77.69
axle;60;1416529914;10;33.12;0.00;3.18;0.00;0.00;63.70
axle;60;1416529914;11;22.71;0.00;2.74;0.00;0.00;74.55
axle;60;1416529914;12;23.60;0.00;4.96;0.00;0.00;71.44
axle;60;1416529914;13;7.45;0.00;3.06;0.00;0.00;89.48
axle;60;1416529914;14;7.40;0.00;2.09;0.02;0.00;90.50
axle;60;1416529914;15;10.84;0.00;2.16;0.00;0.00;87.00
axle;60;1416529974;-1;10.62;0.00;1.88;0.00;0.00;87.50
axle;60;1416529974;0;28.37;0.00;3.12;0.00;0.00;68.50
axle;60;1416529974;1;11.05;0.00;3.82;0.02;0.00;85.11
axle;60;1416529974;2;0.47;0.00;0.53;0.00;0.00;99.00
axle;60;1416529974;3;0.07;0.00;0.20;0.00;0.00;99.73
axle;60;1416529974;4;20.46;0.00;2.44;0.00;0.00;77.10
axle;60;1416529974;5;21.94;0.00;2.74;0.00;0.00;75.32
axle;60;1416529974;6;2.40;0.00;1.08;0.00;0.00;96.51
axle;60;1416529974;7;7.26;0.00;1.54;0.00;0.00;91.20
axle;60;1416529974;8;44.27;0.00;3.74;0.00;0.00;51.99
axle;60;1416529974;9;8.39;0.00;2.99;0.00;0.00;88.62
axle;60;1416529974;10;2.86;0.00;1.07;0.00;0.00;96.07
axle;60;1416529974;11;14.70;0.00;1.80;0.00;0.00;83.50
axle;60;1416529974;12;1.72;0.00;0.78;0.00;0.00;97.50
axle;60;1416529974;13;2.85;0.00;1.18;0.00;0.00;95.97
axle;60;1416529974;14;0.65;0.00;1.32;0.00;0.00;98.02
axle;60;1416529974;15;2.54;0.00;1.71;0.00;0.00;95.75
axle;60;1416530034;-1;5.74;0.00;1.35;0.00;0.00;92.90
axle;60;1416530034;0;4.96;0.00;4.21;0.00;0.00;90.84
axle;60;1416530034;1;29.84;0.00;3.54;0.00;0.00;66.62
axle;60;1416530034;2;0.03;0.00;0.92;0.00;0.00;99.05
axle;60;1416530034;3;0.08;0.00;1.02;0.00;0.00;98.90
axle;60;1416530034;4;10.93;0.00;0.90;0.00;0.00;88.16
axle;60;1416530034;5;44.33;0.00;4.00;0.00;0.00;51.67
axle;60;1416530034;6;0.48;0.00;0.90;0.00;0.00;98.62
axle;60;1416530034;7;0.43;0.00;0.97;0.00;0.00;98.60
axle;60;1416530034;8;0.05;0.00;0.97;0.00;0.00;98.98
axle;60;1416530034;9;0.12;0.00;0.87;0.00;0.00;99.01
axle;60;1416530034;10;0.02;0.00;0.33;0.00;0.00;99.65
axle;60;1416530034;11;0.03;0.00;0.33;0.00;0.00;99.63
axle;60;1416530034;12;0.13;0.00;0.18;0.00;0.00;99.68
axle;60;1416530034;13;0.22;0.00;0.17;0.00;0.00;99.62
axle;60;1416530034;14;0.05;0.00;1.19;0.00;0.00;98.76
axle;60;1416530034;15;0.05;0.00;1.14;0.00;0.00;98.81
axle;60;1416530094;-1;5.75;0.00;1.06;0.00;0.00;93.18
axle;60;1416530094;0;34.26;0.00;2.96;0.00;0.00;62.77
axle;60;1416530094;1;55.73;0.00;5.08;0.00;0.00;39.20
axle;60;1416530094;2;0.05;0.00;0.33;0.00;0.00;99.62
axle;60;1416530094;3;0.05;0.00;0.43;0.00;0.00;99.52
axle;60;1416530094;4;0.18;0.00;0.05;0.00;0.00;99.77
axle;60;1416530094;5;0.25;0.00;0.07;0.00;0.00;99.68
axle;60;1416530094;6;0.42;0.00;1.17;0.00;0.00;98.41
axle;60;1416530094;7;0.48;0.00;1.08;0.00;0.00;98.43
axle;60;1416530094;8;0.15;0.00;1.10;0.00;0.00;98.74
axle;60;1416530094;9;0.07;0.00;1.21;0.00;0.00;98.73
axle;60;1416530094;10;0.02;0.00;0.18;0.00;0.00;99.80
axle;60;1416530094;11;0.02;0.00;0.22;0.00;0.00;99.77
axle;60;1416530094;12;0.08;0.00;1.32;0.00;0.00;98.59
axle;60;1416530094;13;0.12;0.00;1.34;0.00;0.00;98.54
axle;60;1416530094;14;0.03;0.00;0.23;0.00;0.00;99.73
axle;60;1416530094;15;0.07;0.00;0.25;0.00;0.00;99.68
axle;60;1416530154;-1;5.77;0.00;1.02;0.00;0.00;93.21
axle;60;1416530154;0;4.77;0.00;1.07;0.02;0.00;94.14
axle;60;1416530154;1;10.61;0.00;1.50;0.00;0.00;87.89
axle;60;1416530154;2;0.03;0.00;0.32;0.00;0.00;99.65
axle;60;1416530154;3;0.02;0.00;0.37;0.00;0.00;99.62
axle;60;1416530154;4;24.24;0.00;2.12;0.00;0.00;73.64
axle;60;1416530154;5;51.32;0.00;4.51;0.00;0.00;44.17
axle;60;1416530154;6;0.42;0.00;1.08;0.00;0.00;98.50
axle;60;1416530154;7;0.32;0.00;1.00;0.00;0.00;98.68
axle;60;1416530154;8;0.07;0.00;0.62;0.00;0.00;99.32
axle;60;1416530154;9;0.08;0.00;0.48;0.00;0.00;99.43
axle;60;1416530154;10;0.05;0.00;0.52;0.00;0.00;99.43
axle;60;1416530154;11;0.03;0.00;0.62;0.00;0.00;99.35
axle;60;1416530154;12;0.10;0.00;0.57;0.00;0.00;99.33
