# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416529914;28904.18;0.45;-29048.66
axle;60;1416529974;-9630.16;0.17;9642.85
axle;60;1416530034;-26.24;0.13;7.90
axle;60;1416530094;-26.25;0.15;8.09
axle;60;1416530154;4.12;0.15;7.63
axle;60;1416530214;-31412.62;0.18;60.00
axle;60;1416530274;13734.19;0.18;7.57
axle;60;1416530334;4.38;0.10;5.90
axle;60;1416530394;-4.35;0.13;4.90
axle;60;1416530454;3821.45;0.15;8.80
axle;60;1416530514;-26191.74;0.15;18.12
axle;60;1416530574;8634.19;0.12;12.34
