# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416531343;-56883.86;3.57;39510.48
axle;60;1416531403;-15250.80;2.21;1691.90
axle;60;1416531463;4531.41;2.64;908.45
axle;60;1416531523;77.91;2.20;1141.05
axle;60;1416531583;1687.12;1.97;423.91
axle;60;1416531643;-4833.85;2.62;1083.96
axle;60;1416531703;-4057.87;2.56;693.40
axle;60;1416531763;-91.11;2.16;700.17
axle;60;1416531823;3117.38;2.05;821.80
axle;60;1416531883;-2077.74;2.32;1232.44
axle;60;1416531943;24562.20;1.87;316.56
axle;60;1416532003;428.45;0.23;16.79
axle;60;1416532063;-58.14;0.23;8.61
axle;60;1416532123;-7.28;0.13;8.17
axle;60;1416532183;-10.06;0.20;5.85
